Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Twitter ID
Inditex,98.025,30.67,4.04,24.881,289,Consumer Discretionary,Apparel/Footwear Retail,Europe,Spain,Spain,Pablo Álvarez de Tejera,http://www.forbes.com/companies/inditex/,0.162372894980105,0.131724812520378,@ZARA
CaixaBank,19.87,12.392,2.342,441.967,343,Financials,Regional Banks,Europe,Spain,Spain,Gonzalo Gortázar Rotaeche,http://www.forbes.com/companies/caixabank/,0.00529903816348279,0.188992898644287,@caixabank
Grupo ACS,14.129,43.248,1.079,39.205,489,Industrials,Construction Services,Europe,Spain,Spain,Marcelino Verdes,http://www.forbes.com/companies/grupo-acs/,0.0275219997449305,0.0249491305956345,@GRUPOACSnews
Mapfre,9.168,25.167,0.624,70.198,646,Financials,Diversified Insurance,Europe,Spain,Spain,Antonio Mejías,http://www.forbes.com/companies/mapfre/,0.00888914214080173,0.0247943735844558,@MAPFRE
Naturgy Energy Group,27.534,28.714,-3.353,46.447,651,Utilities,Natural Gas Utilities,Europe,Spain,Spain,Francisco Massanet,http://www.forbes.com/companies/naturgy-energy-group/,-0.0721898077378517,-0.116772306192101,@Naturgy
Aena,26.799,4.957,1.567,17.032,869,Industrials,Other Transportation,Europe,Spain,Spain,Maurici Betriu,http://www.forbes.com/companies/aena/,0.092003287928605,0.316118620133145,@aena
Bankia,8.286,4.322,0.829,234.601,943,Financials,Regional Banks,Europe,Spain,Spain,José Álvarez,http://www.forbes.com/companies/bankia/,0.00353365927681468,0.191809347524294,@caixabank
Amadeus IT Group,33.339,5.823,1.183,11.656,951,Information Technology,Software & Programming,Europe,Spain,Spain,Luis Maroto,http://www.forbes.com/companies/amadeus-it-group/,0.101492793411119,0.203159883221707,@AmadeusITGroup
Banco de Sabadell,6.367,7.785,0.387,254.148,1112,Financials,Regional Banks,Europe,Spain,Spain,Jaime Guardiola Romojaro,http://www.forbes.com/companies/banco-de-sabadell/,0.0015227347844563,0.0497109826589595,@BancoSabadell
Bankinter,7.424,2.616,0.621,87.453,1127,Financials,Regional Banks,Europe,Spain,Spain,María Dolores Dancausa Treviño,http://www.forbes.com/companies/bankinter/,0.00710095708552022,0.237385321100917,@Bankinter
Grifols,18.481,5.293,0.704,14.263,1129,Health Care,Biotechs,Europe,Spain,Spain,Victor Deu,http://www.forbes.com/companies/grifols/,0.0493584799831732,0.133005856791989,No Twitter
Ferrovial,17.253,6.768,-0.564,27.986,1133,Industrials,Other Transportation,Europe,Spain,Spain,Íñigo Amusco,http://www.forbes.com/companies/ferrovial/,-0.020152933609662,-0.0833333333333333,@ferrovial
Red Eléctrica,11.118,2.299,0.831,12.962,1388,Utilities,Electric Utilities,Europe,Spain,Spain,Juan Bernad,http://www.forbes.com/companies/red-electrica/,0.064110476778275,0.361461505002175,@RedElectricaREE
Merlin Properties SOCIMI S.A,6.276,0.624,1.009,14.372,1647,Financials,Investment Services,Europe,Spain,Spain,Ismael Orrego,http://www.forbes.com/companies/merlin-properties-socimi/,0.0702059560256053,1.61698717948718,No Twitter
Acciona,5.953,8.86,0.386,17.076,1653,Industrials,Construction Services,Europe,Spain,Spain,José Entrecanales,http://www.forbes.com/companies/acciona/,0.0226048254860623,0.0435665914221219,@ACCIONA
Unicaja Banco,1.843,1.994,0.1802,65.736,1681,Financials,Major Banks,Europe,Spain,Spain,Enrique del Villar Boceta,http://www.forbes.com/companies/unicaja-banco/,0.00274126810271389,0.0903711133400201,@UnicajaBanco
Liberbank,1.445,0.905,0.13,45.451,1812,Financials,Regional Banks,Europe,Spain,Spain,Manuel Menéndez,http://www.forbes.com/companies/liberbank/,0.0028602230974016,0.143646408839779,@Liberbank
Nordea Bank,33.899,14.957,3.622,630.565,231,Financials,Major Banks,Europe,Sweden,Sweden,Casper von Koskull,http://www.forbes.com/companies/nordea-bank/,0.00574405493486001,0.242160861135254,@Nordea
Volvo Group,32.779,44.92,2.861,53.538,246,Industrials,Heavy Equipment,Europe,Sweden,Sweden,Martin Lundstedt,http://www.forbes.com/companies/volvo-group/,0.0534386790690724,0.0636910062333036,@VolvoGroup
SEB AB,21.228,8.024,2.659,289.596,416,Financials,Major Banks,Europe,Sweden,Sweden,Johan Torgeby,http://www.forbes.com/companies/seb-ab/,0.00918175665409743,0.331380857427717,@SEBGroup
Svenska Handelsbanken,21.756,7.415,2.021,341.788,450,Financials,Major Banks,Europe,Sweden,Sweden,Carina Åkerström,http://www.forbes.com/companies/svenska-handelsbanken/,0.00591302210727117,0.272555630478759,@handelsbanken
Swedbank,18.588,6.614,2.432,253.342,497,Financials,Major Banks,Europe,Sweden,Sweden,Anders Karlsson,http://www.forbes.com/companies/swedbank/,0.00959967159018244,0.367704868460841,@Swedbank
H&M - Hennes & Mauritz,29.74,24.253,1.362,13.165,595,Consumer Discretionary,Apparel/Footwear Retail,Europe,Sweden,Sweden,Karl-Johan Persson,http://www.forbes.com/companies/hm-hennes-mauritz/,0.103456133687809,0.0561580010720323,@hm
Telia,18.669,9.604,1.202,28.039,656,Telecommunication Services,Telecommunications services,Europe,Sweden,Sweden,Johan Dennelind,http://www.forbes.com/companies/telia/,0.0428688612290025,0.125156184922949,@TeliaCompany
Atlas Copco,36.827,10.96,2.203,10.904,700,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,Mats Rahmström,http://www.forbes.com/companies/atlas-copco/,0.202035950110051,0.201003649635036,@AtlasCopcoGroup
Ericsson,33.351,24.143,-0.368,30.314,719,Information Technology,Communications Equipment,Europe,Sweden,Sweden,Börje Ekholm,http://www.forbes.com/companies/ericsson/,-0.0121396054628225,-0.0152425133579091,@ericsson
Essity Ab,19.992,13.62,0.906,17.4,724,Consumer Staples,Household/Personal Care,Europe,Sweden,Sweden,Carl Groth,http://www.forbes.com/companies/essity-ab/,0.0520689655172414,0.0665198237885463,@essity
Sandvik,23.698,11.502,1.461,13.349,725,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,Björn Rosengren,http://www.forbes.com/companies/sandvik/,0.109446400479437,0.127021387584768,@SandvikMaterial
Investor AB,36.079,4.652,-0.259,46.972,1036,Financials,Investment Services,Europe,Sweden,Sweden,Johan Forssell,http://www.forbes.com/companies/investor-ab/,-0.00551392318828238,-0.0556749785038693,No Twitter
Skanska,7.729,19.737,0.525,13.117,1150,Industrials,Construction Services,Europe,Sweden,Sweden,Anders Danielsson,http://www.forbes.com/companies/skanska/,0.0400243958222154,0.0265997872017024,@SkanskaGroup
Assa Abloy,25.123,9.66,0.316,12.02,1219,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,Nico Delvaux,http://www.forbes.com/companies/assa-abloy/,0.0262895174708819,0.032712215320911,@assaabloygs
SKF Group,8.698,9.851,0.837,9.832,1224,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,Alrik Danielson,http://www.forbes.com/companies/skf-group/,0.0851301871440195,0.0849659933001726,@SKFgroup
Hexagon,20.263,4.438,0.862,11.07,1250,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,Robert Belkic,http://www.forbes.com/companies/hexagon/,0.0778681120144535,0.194231635872014,@HexagonAB
Electrolux Group,7.408,14.266,0.437,10.976,1455,Consumer Discretionary,Household Appliances,Europe,Sweden,Sweden,Jonas Samuelson,http://www.forbes.com/companies/electrolux-group/,0.039814139941691,0.0306322725360998,@Electrolux
Boliden,8.426,6.029,0.827,6.624,1478,Materials,Diversified Metals & Mining,Europe,Sweden,Sweden,Mikael Staffas,http://www.forbes.com/companies/boliden/,0.124849033816425,0.137170343340521,No Twitter
ICA Gruppen,7.421,13.258,0.417,9.097,1519,Consumer Staples,Food Retail,Europe,Sweden,Sweden,Per Torsten Strömberg,http://www.forbes.com/companies/ica-gruppen/,0.0458392876772562,0.0314527077990647,@ICAGruppen
Epiroc,13.174,4.4,0.624,4.078,1531,,,Europe,Sweden,Sweden,Per Lindberg,http://www.forbes.com/companies/epiroc/,0.15301618440412,0.141818181818182,@epirocgroup
Fastighets Balder,5.793,0.772,1.07,14.438,1622,Financials,Consumer Financial Services,Europe,Sweden,Sweden,Kjell Torne Selin,http://www.forbes.com/companies/fastighets-balder/,0.0741099875328993,1.3860103626943,No Twitter
Industrivarden,10.058,0.624,0.607,11.438,1684,Financials,Investment Services,Europe,Sweden,Sweden,Helena Stjernholm,http://www.forbes.com/companies/industrivarden/,0.0530687183073964,0.97275641025641,No Twitter
Alfa Laval,10.38,4.674,0.519,6.566,1825,Industrials,Other Industrial Equipment,Europe,Sweden,Sweden,Tom Erixon,http://www.forbes.com/companies/alfa-laval/,0.0790435577215961,0.111039794608472,@Alfa_Laval
Autoliv,7.566,9.25,0.19,6.722,1909,Consumer Discretionary,Auto & Truck Parts,Europe,Sweden,Sweden,Mikael Bratt,http://www.forbes.com/companies/autoliv/,0.0282653972032133,0.0205405405405405,@AutolivInc
Lundbergs,8.211,2.498,0.412,15.311,1967,Financials,Real Estate,Europe,Sweden,Sweden,Lars Lundberg,http://www.forbes.com/companies/lundbergs/,0.026908758408987,0.164931945556445,No Twitter
Securitas,6.289,11.662,0.347,6.256,1978,Consumer Discretionary,Business & Personal Services,Europe,Sweden,Sweden,Magnus Ahlqvist,http://www.forbes.com/companies/securitas/,0.0554667519181586,0.0297547590464757,@Securitas_Group
Nestle,281.294,93.433,10.356,138.989,42,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,Ulf Schneider,http://www.forbes.com/companies/nestle/,0.0745094935570441,0.110838782871148,@Nestle
Novartis,175.649,51.902,12.633,145.646,60,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,Vasant Narasimhan,http://www.forbes.com/companies/novartis/,0.0867377064938275,0.24340102500867,@Novartis
Roche Holding,222.048,58.085,10.729,79.648,88,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,Severin Schwan,http://www.forbes.com/companies/roche-holding/,0.134705202892728,0.184712059912198,@Roche
UBS,48.964,42.904,4.84,958.489,95,Financials,Major Banks,Europe,Switzerland,Switzerland,Sergio Ermotti,http://www.forbes.com/companies/ubs/,0.00504961454956708,0.112809994406116,@UBS
Glencore International,60.455,219.782,3.343,128.672,107,Materials,Diversified Metals & Mining,Europe,Switzerland,Switzerland,Ivan Glasenberg,http://www.forbes.com/companies/glencore-international/,0.0259807883611042,0.015210526794733,@Glencore
Zurich Insurance Group,47.686,46.938,3.717,374.145,117,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,Mario Greco,http://www.forbes.com/companies/zurich-insurance-group/,0.00993465100428978,0.0791895692189697,@Zurich
Chubb,63.539,32.635,3.962,167.771,137,Financials,Property & Casualty Insurance,Europe,Switzerland,Switzerland,Evan Greenberg,http://www.forbes.com/companies/chubb/,0.0236155235410172,0.12140340125632,@Chubb
Credit Suisse Group,34.414,34.051,2.102,779.992,191,Financials,Major Banks,Europe,Switzerland,Switzerland,Tidjane Thiam,http://www.forbes.com/companies/credit-suisse-group/,0.002694899434866,0.0617309330122463,@CreditSuisse
ABB,44.509,34.293,2.169,44.441,282,Industrials,Conglomerates,Europe,Switzerland,Switzerland,Peter Voser,http://www.forbes.com/companies/abb/,0.0488062824868927,0.0632490595748404,@ABBgroupnews
Lafargeƒ,31.257,28.065,1.535,60.555,321,Materials,Construction Materials,Europe,Switzerland,Switzerland,Jan Jenisch,http://www.forbes.com/companies/holcim/,0.0253488564115267,0.0546944592909318,@Holcim
Richemont,42.378,14.486,2.969,33.433,360,Consumer Discretionary,Specialty Stores,Europe,Switzerland,Switzerland,Jérôme Lambert,http://www.forbes.com/companies/richemont/,0.0888044746208836,0.204956509733536,@Cartier
Swiss Life Holding,15.856,19.676,1.099,216.273,392,Financials,Life & Health Insurance,Europe,Switzerland,Switzerland,Patrick Frost,http://www.forbes.com/companies/swiss-life-holding/,0.00508154046043658,0.0558548485464525,@swisslife_group
Swiss Re,30.447,37.294,0.402,200.512,474,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,Christian Mumenthaler,http://www.forbes.com/companies/swiss-re/,0.0020048675390999,0.0107792138145546,@SwissRe
TE Connectivity,30.25,14.365,2.977,19.188,507,Information Technology,Electronics,Europe,Switzerland,Switzerland,Terrence Curtin,http://www.forbes.com/companies/te-connectivity/,0.155149051490515,0.207239819004525,@TEConnectivity
Swisscom,24.083,11.969,1.56,22.911,579,Telecommunication Services,Telecommunications services,Europe,Switzerland,Switzerland,Urs Schaeppi,http://www.forbes.com/companies/swisscom/,0.0680895639649077,0.130336703149804,@Swisscom
Kuehne & Nagel International,17.171,21.227,0.787,7.991,838,Industrials,Other Transportation,Europe,Switzerland,Switzerland,Detlef Trefzger,http://www.forbes.com/companies/kuehne-nagel-international/,0.0984857965210862,0.0370754228105714,@Kuehne_Nagel
Schindler Holding,23.307,11.116,0.964,10.12,864,Industrials,Other Industrial Equipment,Europe,Switzerland,Switzerland,Thomas Oetterli,http://www.forbes.com/companies/schindler-holding/,0.0952569169960474,0.0867218423893487,@schindlergroup
STMicroelectronics,16.76,9.68,1.294,10.867,906,Information Technology,Semiconductors,Europe,Switzerland,Switzerland,Jean-Marc Chery,http://www.forbes.com/companies/stmicroelectronics/,0.119076101960063,0.133677685950413,@ST_World
Julius Baer Group,10.327,4.194,0.751,104.381,928,Financials,Regional Banks,Europe,Switzerland,Switzerland,Bernhard Hodler,http://www.forbes.com/companies/julius-baer-group/,0.00719479598777555,0.179065331425846,@juliusbaer
Swatch Group,16.26,8.66,0.863,13.858,930,Consumer Discretionary,Apparel/Accessories,Europe,Switzerland,Switzerland,Georges Hayek,http://www.forbes.com/companies/swatch-group/,0.0622744984846298,0.0996535796766744,@Swatch
Bâloise Group,8.02,7.282,0.535,81.556,967,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,Gert de Winter,http://www.forbes.com/companies/baloise-group/,0.00655990975526019,0.0734688272452623,@Baloise_Group
Adecco,9.692,28.163,0.544,11.109,1037,Consumer Discretionary,Business & Personal Services,Europe,Switzerland,Switzerland,Alain Dehaze,http://www.forbes.com/companies/adecco/,0.0489693041677919,0.0193161239924724,@AdeccoGroup
Sika,21.2,7.24,0.698,6.474,1076,Materials,Construction Materials,Europe,Switzerland,Switzerland,Paul Schuler,http://www.forbes.com/companies/sika/,0.107815878900216,0.0964088397790055,@Sika
Helvetia Holding,6.22,9.348,0.442,59.16,1115,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,Philipp Gmür,http://www.forbes.com/companies/helvetia-holding/,0.00747126436781609,0.0472828412494651,@helvetia
Lonza Group,21.786,5.663,0.571,14.122,1137,Materials,Specialized Chemicals,Europe,Switzerland,Switzerland,Marc Funk,http://www.forbes.com/companies/lonza-group/,0.0404333663786999,0.100829948790394,@LonzaGroup
SGS,19.801,6.852,0.657,6.155,1151,Consumer Discretionary,Business & Personal Services,Europe,Switzerland,Switzerland,Frankie Ng,http://www.forbes.com/companies/sgs/,0.106742485783916,0.0958844133099825,@SGS_SA
Givaudan,23.337,5.648,0.677,9.402,1186,Consumer Staples,Household/Personal Care,Europe,Switzerland,Switzerland,Gilles Andrier,http://www.forbes.com/companies/givaudan/,0.0720059561795363,0.119865439093484,@Givaudan
Partners Group Holding,19.917,1.53,0.786,2.992,1298,Financials,Investment Services,Europe,Switzerland,Switzerland,André Frei,http://www.forbes.com/companies/partners-group-holding/,0.262700534759358,0.513725490196078,@partnersgroup
Coca-Cola HBC,12.871,7.854,0.528,7.835,1315,Consumer Staples,Beverages,Europe,Switzerland,Switzerland,Zoran Bogdanovic,http://www.forbes.com/companies/coca-cola-hbc/,0.0673899170389279,0.0672268907563025,No Twitter
Garmin,16.394,3.347,0.694,5.383,1395,Consumer Discretionary,Consumer Electronics,Europe,Switzerland,Switzerland,Clifton Pemble,http://www.forbes.com/companies/garmin/,0.128924391603195,0.20734986555124,@Garmin
Geberit,15.146,3.148,0.61,3.552,1492,Materials,Construction Materials,Europe,Switzerland,Switzerland,Christian Buhl,http://www.forbes.com/companies/geberit/,0.171734234234234,0.193773824650572,@GeberitGroup
Lindt & Sprungli,18.601,4.407,0.496,7.473,1529,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,Dieter Weisskopf,http://www.forbes.com/companies/lindt-sprungli/,0.0663722735179981,0.112548218742909,@Lindt
EMS-Chemie Holding,14.377,2.369,0.531,2.189,1582,Materials,Specialized Chemicals,Europe,Switzerland,Switzerland,Magdalena Martullo-Blocher,http://www.forbes.com/companies/ems-chemie-holding/,0.242576518958429,0.224145208948924,No Twitter
Banque Cantonale Vaudoise,6.813,1.168,0.357,48.552,1635,Financials,Regional Banks,Europe,Switzerland,Switzerland,Pascal Kiener,http://www.forbes.com/companies/banque-cantonale-vaudoise/,0.00735294117647059,0.305650684931507,@BCV
Barry Callebaut,9.949,7.12,0.365,6.074,1795,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,Antoine de Saint-Affrique,http://www.forbes.com/companies/barry-callebaut/,0.0600921962462957,0.0512640449438202,@BarryCallebaut
Basler Kantonalbank,0.391,0.691,0.194,44.665,1822,Financials,Regional Banks,Europe,Switzerland,Switzerland,Simone Westerfeld,http://www.forbes.com/companies/basler-kantonalbank/,0.00434344565095713,0.280752532561505,@BaslerKB
Garrett Motion,1.392,3.375,1.178,2.104,1845,,,Europe,Switzerland,Switzerland,Olivier Rabiller,http://www.forbes.com/companies/garrett-motion/,0.559885931558935,0.349037037037037,@GarrettMotion
Sonova Holding,12.903,2.761,0.427,4.335,1858,Health Care,Medical Equipment & Supplies,Europe,Switzerland,Switzerland,Arnd Kaldowski,http://www.forbes.com/companies/sonova-holding/,0.0985005767012687,0.15465411082941,@SonovaGroup
EFG International,2.169,1.559,0.072,40.739,1867,Financials,Regional Banks,Europe,Switzerland,Switzerland,Piergiorgio Pradelli,http://www.forbes.com/companies/efg-international/,0.00176734824124303,0.0461834509300834,@EFGInt
Luzerner Kantonalbank,3.973,0.619,0.203,39.728,1877,Financials,Regional Banks,Europe,Switzerland,Switzerland,Daniel Salzmann,http://www.forbes.com/companies/luzerner-kantonalbank/,0.00510974627466774,0.32794830371567,@LuzernerKB
St. Galler Kantonalbank,2.653,0.592,0.162,33.624,1965,Financials,Regional Banks,Europe,Switzerland,Switzerland,Roland Ledergerber,http://www.forbes.com/companies/st-galler-kantonalbank/,0.00481798715203426,0.273648648648649,@sgkb_news
Isbank,4.637,15.258,1.487,105.459,663,Financials,Regional Banks,Europe,Turkey,Turkey,Adnan Bali,http://www.forbes.com/companies/isbank/,0.0141002664542618,0.0974570717000918,@isbankasi
Koç Holding,7.363,29.534,1.142,23.549,744,Industrials,Conglomerates,Europe,Turkey,Turkey,Levent Çakiroglu,http://www.forbes.com/companies/koc-holding/,0.0484946282220052,0.0386672987065755,@kocholding
Garanti Bank,6.144,10.254,1.378,74.545,777,Financials,Regional Banks,Europe,Turkey,Turkey,Ali Erbil,http://www.forbes.com/companies/garanti-bank/,0.0184854785699913,0.134386580846499,@garantibbvaytrm
Sabanci Holding,2.785,11.733,0.79,69.867,849,Industrials,Conglomerates,Europe,Turkey,Turkey,Mehmet Göçmen,http://www.forbes.com/companies/sabanci-holding/,0.0113071979618418,0.0673314582800648,@SSabanciMuze
Akbank,5.654,8.253,1.17,66.693,869,Financials,Regional Banks,Europe,Turkey,Turkey,Hakan Binbasgil,http://www.forbes.com/companies/akbank/,0.0175430704871576,0.141766630316249,@Akbank
Halkbank,1.329,8.324,0.919,78.04,896,Financials,Regional Banks,Europe,Turkey,Turkey,Osman Arslan,http://www.forbes.com/companies/halkbank/,0.0117760123013839,0.110403652090341,@Halkbank
VakifBank,1.839,7.792,1.026,69.528,908,Financials,Regional Banks,Europe,Turkey,Turkey,Mehmet Özcan,http://www.forbes.com/companies/vakifbank/,0.0147566448049707,0.131673511293634,@VakifBank
Turkish Airlines,3.407,12.959,0.834,20.503,1034,Industrials,Airline,Europe,Turkey,Turkey,Bilal Eksi,http://www.forbes.com/companies/turkish-airlines/,0.040676974101351,0.0643568176556833,@TurkishAirlines
Erdemir,5.412,5.57,1.154,7.854,1661,Materials,Iron & Steel,Europe,Turkey,Turkey,Sedat Orhan,http://www.forbes.com/companies/erdemir/,0.146931499872676,0.207181328545781,No Twitter
HSBC Holdings,175.46,64.294,13.664,2558.124,21,Financials,Major Banks,Europe,United Kingdom,United Kingdom,John Flint,http://www.forbes.com/companies/hsbc-holdings/,0.00534141425513384,0.212523719165085,@HSBC
BP,149.548,299.065,9.332,282.176,24,Energy,Oil & Gas Operations,Europe,United Kingdom,United Kingdom,Robert Dudley,http://www.forbes.com/companies/bp/,0.0330715581764573,0.0312039188805109,@bp_plc
Lloyds Banking Group,60.895,35.242,5.3,1015.821,90,Financials,Major Banks,Europe,United Kingdom,United Kingdom,António Horta-Osório,http://www.forbes.com/companies/lloyds-banking-group/,0.00521745464998262,0.150388740707111,@LloydsBank
British American Tobacco,90.924,32.658,8.043,186.381,102,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,Nicandro Durante,http://www.forbes.com/companies/british-american-tobacco/,0.0431535403286816,0.246279625206687,@BATplc
Rio Tinto,99.964,40.533,13.782,90.949,111,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,Jean-Sébastien Jacques,http://www.forbes.com/companies/rio-tinto/,0.151535475926068,0.340019243579306,@RioTinto
Prudential,60.2,33.285,4.014,633.617,112,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,Mike Wells,http://www.forbes.com/companies/prudential/,0.00633505729802073,0.120594862550699,@Prudential
GlaxoSmithKline,97.632,41.097,4.831,73.953,147,Health Care,Pharmaceuticals,Europe,United Kingdom,United Kingdom,Emma Walmsley,http://www.forbes.com/companies/glaxosmithkline/,0.0653252741606155,0.117551159452028,@GSK
Fiat Chrysler Automobiles,25.552,133.416,4.257,110.74,171,Consumer Discretionary,Auto & Truck Manufacturers,Europe,United Kingdom,United Kingdom,Michael Manley,http://www.forbes.com/companies/fiat-chrysler-automobiles/,0.0384413942568178,0.0319077172153265,@fiat
Royal Bank of Scotland,41.272,22.209,2.789,884.178,185,Financials,Major Banks,Europe,United Kingdom,United Kingdom,Ross McEwan,http://www.forbes.com/companies/royal-bank-of-scotland/,0.00315434222520805,0.12557971993336,@RBS_Help
Barclays,37.984,28.183,2.129,1443.349,187,Financials,Major Banks,Europe,United Kingdom,United Kingdom,James E. Staley,http://www.forbes.com/companies/barclays/,0.00147504172587503,0.0755419934002768,@Barclays
Linde,98.302,14.9,4.381,93.386,219,Materials,Diversified Chemicals,Europe,United Kingdom,United Kingdom,Stephen Angel,http://www.forbes.com/companies/linde/,0.0469128134838198,0.294026845637584,@Lindeplc
Aviva,21.967,37.911,2.043,533.286,232,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,Mark Wilson,http://www.forbes.com/companies/aviva/,0.00383096499814359,0.053889372477645,@avivaplc
AstraZeneca,99.235,23.905,2.182,60.651,237,Health Care,Pharmaceuticals,Europe,United Kingdom,United Kingdom,Pascal Soriot,http://www.forbes.com/companies/astrazeneca/,0.0359763235560832,0.0912779753189709,@AstraZeneca
National Grid,36.321,20.045,4.442,79.241,241,Utilities,Electric Utilities,Europe,United Kingdom,United Kingdom,John Pettigrew,http://www.forbes.com/companies/national-grid/,0.056056839262503,0.221601396857072,@nationalgriduk
Tesco,31.865,84.268,1.743,65.237,243,Consumer Staples,Food Retail,Europe,United Kingdom,United Kingdom,David Lewis,http://www.forbes.com/companies/tesco/,0.0267179667979827,0.0206840081644278,@Tesco
Anglo American,35.852,27.61,3.577,52.196,261,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,Mark Cutifani,http://www.forbes.com/companies/anglo-american/,0.0685301555674764,0.129554509235784,@AngloAmerican
Legal & General Group,22.582,17.482,2.436,621.237,271,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,Nigel Wilson,http://www.forbes.com/companies/legal-general-group/,0.0039212088140275,0.139343324562407,@landg_group
BT Group,29.633,31.467,2.693,59.982,275,Telecommunication Services,Telecommunications services,Europe,United Kingdom,United Kingdom,Philip Jansen,http://www.forbes.com/companies/bt-group/,0.0448968023740456,0.0855817205326215,@BTGroup
Diageo,98.004,16.722,3.92,40.875,283,Consumer Staples,Beverages,Europe,United Kingdom,United Kingdom,Ivan Menezes,http://www.forbes.com/companies/diageo/,0.0959021406727829,0.234421719889965,@Diageo_News
Reckitt Benckiser Group,53.506,16.797,2.881,47.951,293,Consumer Staples,Household/Personal Care,Europe,United Kingdom,United Kingdom,Rakesh Kapoor,http://www.forbes.com/companies/reckitt-benckiser-group/,0.0600821672123626,0.171518723581592,@ThisIsReckitt
LyondellBasell Industries,33.992,39.001,4.684,28.278,309,Materials,Diversified Chemicals,Europe,United Kingdom,United Kingdom,Bhavesh Patel,http://www.forbes.com/companies/lyondellbasell-industries/,0.16564113445081,0.120099484628599,@LyondellBasell
Standard Chartered,28.939,23.975,0.635,688.762,357,Financials,Major Banks,Europe,United Kingdom,United Kingdom,Bill Winters,http://www.forbes.com/companies/standard-chartered/,0.000921944009686946,0.0264859228362878,@StanChart
Imperial Brands,31.005,20.698,1.839,40.227,359,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,Alison Cooper,http://www.forbes.com/companies/imperial-brands/,0.0457155641733164,0.0888491641704512,@ImperialBrands
International Airlines,14.377,28.801,3.404,32.047,428,Industrials,Airline,Europe,United Kingdom,United Kingdom,William Walsh,http://www.forbes.com/companies/international-airlines/,0.106218990857179,0.118190340613173,@British_Airways
Vodafone,49.557,53.869,-3.846,155.246,464,Telecommunication Services,Telecommunications services,Europe,United Kingdom,United Kingdom,Nick Read,http://www.forbes.com/companies/vodafone/,-0.0247735851487317,-0.0713954222279976,@VodafoneGroup
CNH Industrial,15.204,29.713,1.068,46.1,480,Industrials,Heavy Equipment,Europe,United Kingdom,United Kingdom,Hubertus Mühlhäuser,http://www.forbes.com/companies/cnh-industrial/,0.0231670281995662,0.0359438629556087,@CNHIndustrial
WPP,15.159,20.804,1.417,43.134,487,Consumer Discretionary,Advertising,Europe,United Kingdom,United Kingdom,Mark Read,http://www.forbes.com/companies/wpp/,0.0328511151295961,0.0681119015573928,@WPP
Compass Group,35.47,30.866,1.512,16.447,498,Consumer Discretionary,Restaurants,Europe,United Kingdom,United Kingdom,Dominic Blakemore,http://www.forbes.com/companies/compass-group/,0.0919316592691676,0.0489859392211495,@compassgroupuk
Aon,42.14,10.761,1.052,26.422,571,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,Gregory Case,http://www.forbes.com/companies/aon/,0.0398153054272954,0.0977604311866927,@Aon_plc
RELX,43.358,9.99,1.896,17.829,584,Information Technology,Computer Services,Europe,United Kingdom,United Kingdom,Erik Engstrom,http://www.forbes.com/companies/relx/,0.106343597509675,0.18978978978979,@RELXHQ
Coca-Cola European Partners,24.715,13.577,1.071,20.824,621,Consumer Staples,Beverages,Europe,United Kingdom,United Kingdom,Damian Gammell,http://www.forbes.com/companies/coca-cola-european-partners/,0.0514310411064157,0.0788834057597407,@CocaColaEP
Willis Towers Watson,22.916,8.485,0.695,32.385,722,Financials,Diversified Insurance,Europe,United Kingdom,United Kingdom,John Haley,http://www.forbes.com/companies/willis-towers-watson/,0.021460552725027,0.0819092516205068,@WTW_ins
London Stock Exchange,22.423,2.847,0.64,1073.449,729,Financials,Investment Services,Europe,United Kingdom,United Kingdom,David Schwimmer,http://www.forbes.com/companies/london-stock-exchange/,0.000596209042069069,0.224798033017211,@LSEGplc
